0, 1, 0
0, 2, 3,6
1, 1, 4,007325
1, 2, 7,72
2, 1, 8,015056
3, 1, 12,02471
2, 3, 12,4
4, 1, 16,02813
3, 3, 16,42
4, 2, 19,76
5, 1, 20,04372
