0, 1, 0
0, 2, 3,62
0, 3, 3,9
1, 1, 4,005312
1, 2, 7,72
2, 1, 8,017723
1, 3, 8,04
3, 1, 12,02124
2, 3, 12,4
4, 1, 16,03755
