0, 1, 0
0, 2, 3,54
1, 1, 4,008826
1, 2, 7,72
2, 1, 7,814974
3, 1, 11,43621
2, 3, 12,2
4, 1, 14,87665
3, 3, 15,82
5, 1, 18,14849
4, 2, 18,6
6, 1, 21,0929
5, 2, 21,72
7, 1, 23,88991
6, 2, 24,82
8, 1, 26,68404
7, 3, 28,28
9, 1, 29,35352
8, 3, 31,08
10, 1, 31,89047
9, 2, 33,08
11, 1, 34,29502
10, 2, 35,46
12, 1, 36,57397
11, 2, 38,02
13, 1, 38,74646
14, 1, 40,91035
12, 3, 40,96
15, 1, 42,96513
13, 3, 43,28
14, 2, 44,64
16, 1, 44,9326
15, 2, 46,54
17, 1, 46,88866
