0, 1, 0
0, 2, 3,56
1, 1, 4,013371
1, 2, 7,74
2, 1, 7,827518
3, 1, 11,45123
2, 3, 12,22
4, 1, 14,89675
3, 3, 15,82
5, 1, 18,16344
4, 2, 18,62
6, 1, 21,10798
5, 2, 21,72
7, 1, 23,91356
6, 2, 24,84
8, 1, 26,72227
7, 3, 28,3
9, 1, 29,37719
8, 3, 31,12
10, 1, 31,91048
9, 2, 33,1
11, 1, 34,31448
10, 2, 35,46
12, 1, 36,60154
11, 2, 38,04
13, 1, 38,7658
