0, 1, 0
0, 2, 3,6
1, 1, 4,009325
1, 2, 7,72
2, 1, 8,024577
3, 1, 12,02858
2, 3, 12,42
4, 1, 16,04368
3, 3, 16,42
4, 2, 19,76
5, 1, 20,04892
