0, 1, 0
0, 2, 3,6
1, 1, 4,007286
1, 2, 7,72
2, 1, 8,021923
3, 1, 12,02323
2, 3, 12,4
4, 1, 16,02609
3, 3, 16,4
4, 2, 19,74
5, 1, 20,04042
5, 2, 23,6
6, 1, 24,04967
6, 2, 27,78
7, 1, 28,05402
8, 1, 32,07036
7, 3, 32,44
9, 1, 36,08142
