0, 1, 22:33:53:573
0, 1, 22:33:53:573
1, 1, 22:33:57:669
0, 1, 22:33:57:669
2, 1, 22:34:01:273
0, 1, 22:34:01:273
0, 2, 22:34:01:549
0, 2, 22:34:01:549
3, 1, 22:34:04:523
0, 1, 22:34:04:523
0, 2, 22:34:05:236
0, 2, 22:34:05:236
1, 3, 22:34:06:129
0, 3, 22:34:06:130
4, 1, 22:34:07:448
0, 1, 22:34:07:448
5, 1, 22:34:10:074
0, 1, 22:34:10:074
2, 3, 22:34:12:317
0, 3, 22:34:12:317
6, 1, 22:34:12:442
0, 1, 22:34:12:442
7, 1, 22:34:14:576
0, 1, 22:34:14:576
3, 3, 22:34:15:735
0, 3, 22:34:15:735
4, 2, 22:34:16:098
0, 2, 22:34:16:098
8, 1, 22:34:16:708
0, 1, 22:34:16:708
9, 1, 22:34:18:633
0, 1, 22:34:18:633
