probandId;condition;beeId;result;startTime;endTime
22;4;0; 1; 22:49:42.940; 22:49:46.894
22;4;1; 1; 22:49:47.017; 22:49:51.373
22;4;2; 1; 22:49:50.827; 22:49:54.913
22;4;3; 1; 22:49:54.445; 22:49:57.617
22;4;4; 1; 22:49:57.886; 22:50:01.102
22;4;5; 1; 22:50:01.148; 22:50:05.491
22;4;6; 1; 22:50:04.096; 22:50:08.261
22;4;7; 1; 22:50:06.900; 22:50:11.278
22;4;8; 1; 22:50:09.704; 22:50:13.701
22;4;9; 1; 22:50:12.361; 22:50:16.538
22;4;10; 1; 22:50:14.885; 22:50:19.241
22;4;11; 1; 22:50:17.287; 22:50:21.296
22;4;12; 1; 22:50:19.565; 22:50:22.758
22;4;13; 1; 22:50:21.732; 22:50:25.876
22;4;14; 1; 22:50:23.900; 22:50:28.233
22;4;15; 1; 22:50:25.955; 22:50:30.053
22;4;16; 1; 22:50:27.909; 22:50:32.119
22;4;17; 1; 22:50:29.864; 22:50:34.219
22;4;18; 1; 22:50:31.718; 22:50:35.001
22;4;19; 1; 22:50:33.483; 22:50:37.637
22;4;20; 1; 22:50:35.248; 22:50:39.480
22;4;21; 1; 22:50:36.923; 22:50:40.932
22;4;22; 1; 22:50:38.599; 22:50:42.776
22;4;23; 1; 22:50:40.197; 22:50:44.562
22;4;24; 1; 22:50:41.716; 22:50:45.713
22;4;25; 1; 22:50:43.234; 22:50:46.439
22;4;26; 1; 22:50:44.675; 22:50:47.778
22;4;27; 1; 22:50:46.116; 22:50:49.321
22;4;28; 1; 22:50:47.479; 22:50:51.722
22;4;29; 1; 22:50:48.842; 22:50:53.297
22;4;30; 2; 22:50:50.215; 22:50:54.257
22;4;31; 1; 22:50:51.511; 22:50:55.799
22;4;32; 1; 22:50:52.807; 22:50:57.161
22;4;33; 1; 22:50:54.047; 22:50:58.212
22;4;34; 2; 22:50:55.287; 22:50:58.503
22;4;35; 1; 22:50:56.460; 22:51:00.691
22;4;36; 1; 22:50:57.631; 22:51:02.020
22;4;37; 1; 22:50:58.805; 22:51:02.177
22;4;38; 2; 22:50:59.922; 22:51:04.322
22;4;40; 1; 22:51:02.100; 22:51:05.259
22;4;39; 1; 22:51:01.039; 22:51:05.616
22;4;42; 1; 22:51:04.223; 22:51:07.358
22;4;41; 1; 22:51:03.161; 22:51:07.637
22;4;43; 1; 22:51:05.227; 22:51:09.392
22;4;44; 1; 22:51:06.233; 22:51:10.621
22;4;45; 2; 22:51:07.238; 22:51:11.359
22;4;46; 1; 22:51:08.199; 22:51:11.414
22;4;47; 1; 22:51:09.160; 22:51:13.414
22;4;48; 1; 22:51:10.119; 22:51:14.541
22;4;49; 2; 22:51:11.081; 22:51:15.179
22;4;50; 1; 22:51:12.041; 22:51:15.291
22;4;51; 1; 22:51:13.002; 22:51:16.999
22;4;52; 1; 22:51:13.961; 22:51:17.256
22;4;53; 1; 22:51:14.922; 22:51:18.875
22;4;54; 1; 22:51:15.884; 22:51:20.294
22;4;56; 1; 22:51:17.803; 22:51:21.042
22;4;55; 2; 22:51:16.844; 22:51:21.255
22;4;57; 1; 22:51:18.765; 22:51:23.142
22;4;58; 1; 22:51:19.725; 22:51:23.880
22;4;59; 2; 22:51:20.686; 22:51:24.941
22;4;60; 1; 22:51:21.646; 22:51:26.135
22;4;61; 1; 22:51:22.607; 22:51:26.538
22;4;62; 2; 22:51:23.567; 22:51:26.838
22;4;63; 1; 22:51:24.528; 22:51:28.661
22;4;65; 1; 22:51:26.448; 22:51:29.699
22;4;64; 2; 22:51:25.489; 22:51:30.000
22;4;66; 1; 22:51:27.408; 22:51:31.855
22;4;67; 1; 22:51:28.370; 22:51:32.478
22;4;68; 2; 22:51:29.330; 22:51:32.633
22;4;69; 1; 22:51:30.292; 22:51:34.558
22;4;70; 1; 22:51:31.252; 22:51:35.237
22;4;71; 2; 22:51:32.214; 22:51:35.516
22;4;72; 1; 22:51:33.173; 22:51:37.359
22;4;73; 1; 22:51:34.134; 22:51:38.433
22;4;74; 2; 22:51:35.095; 22:51:39.238
22;4;75; 1; 22:51:36.055; 22:51:39.393
22;4;76; 1; 22:51:37.016; 22:51:40.275
22;4;77; 1; 22:51:37.977; 22:51:41.952
22;4;78; 1; 22:51:38.938; 22:51:43.359
22;4;79; 1; 22:51:39.898; 22:51:44.297
22;4;80; 1; 22:51:40.858; 22:51:44.921
22;4;81; 2; 22:51:41.819; 22:51:45.123
22;4;82; 2; 22:51:42.780; 22:51:47.034
22;4;83; 1; 22:51:43.740; 22:51:48.117
22;4;84; 1; 22:51:44.701; 22:51:48.854
22;4;85; 2; 22:51:45.661; 22:51:49.078
22;4;86; 2; 22:51:46.621; 22:51:50.876
22;4;87; 1; 22:51:47.582; 22:51:51.703
22;4;88; 2; 22:51:48.543; 22:51:52.697
22;4;89; 1; 22:51:49.504; 22:51:52.898
22;4;90; 1; 22:51:50.464; 22:51:54.662
22;4;91; 1; 22:51:51.424; 22:51:55.913
22;4;92; 1; 22:51:52.385; 22:51:56.395
22;4;93; 2; 22:51:53.345; 22:51:56.595
22;4;94; 2; 22:51:54.306; 22:51:57.577
22;4;95; 2; 22:51:55.266; 22:51:59.298
22;4;96; 1; 22:51:56.227; 22:52:00.438
22;4;97; 2; 22:51:57.188; 22:52:01.655
22;4;98; 1; 22:51:58.149; 22:52:02.336
22;4;99; 1; 22:51:59.109; 22:52:03.531
