probandId;condition;beeId;result;startTime;endTime
13;3;0; 1; 14:33:46.604; 14:33:50.688
13;3;1; 1; 14:33:50.666; 14:33:55.168
13;3;2; 1; 14:33:54.476; 14:33:58.709
13;3;3; 1; 14:33:58.094; 14:34:01.311
13;3;4; 1; 14:34:01.536; 14:34:04.685
13;3;5; 1; 14:34:04.796; 14:34:09.229
13;3;6; 1; 14:34:07.745; 14:34:11.944
13;3;7; 2; 14:34:10.549; 14:34:15.005
13;3;8; 1; 14:34:13.353; 14:34:17.249
13;3;9; 1; 14:34:16.012; 14:34:20.266
13;3;10; 1; 14:34:18.535; 14:34:22.847
13;3;11; 1; 14:34:20.937; 14:34:24.945
13;3;12; 1; 14:34:23.215; 14:34:26.443
13;3;13; 1; 14:34:25.382; 14:34:29.526
13;3;14; 2; 14:34:27.549; 14:34:32.069
13;3;15; 1; 14:34:29.605; 14:34:33.502
13;3;16; 1; 14:34:31.559; 14:34:35.769
13;3;17; 1; 14:34:33.514; 14:34:37.846
13;3;18; 2; 14:34:35.368; 14:34:38.684
13;3;19; 1; 14:34:37.133; 14:34:41.265
13;3;20; 2; 14:34:38.896; 14:34:43.387
13;3;21; 1; 14:34:40.574; 14:34:44.526
13;3;22; 2; 14:34:42.249; 14:34:46.470
13;3;23; 1; 14:34:43.845; 14:34:48.392
13;3;24; 1; 14:34:45.366; 14:34:49.385
13;3;25; 2; 14:34:46.883; 14:34:50.166
13;3;26; 1; 14:34:48.326; 14:34:51.507
13;3;27; 1; 14:34:49.765; 14:34:52.970
13;3;28; 1; 14:34:51.129; 14:34:55.227
13;3;29; 1; 14:34:52.502; 14:34:56.946
13;3;30; 1; 14:34:53.866; 14:34:57.851
13;3;31; 1; 14:34:55.162; 14:34:59.325
13;3;32; 1; 14:34:56.457; 14:35:00.790
13;3;33; 1; 14:34:57.696; 14:35:01.727
13;3;34; 2; 14:34:58.936; 14:35:02.230
13;3;35; 1; 14:35:00.110; 14:35:04.264
13;3;37; 1; 14:35:02.452; 14:35:05.748
13;3;36; 2; 14:35:01.281; 14:35:05.749
13;3;38; 1; 14:35:03.571; 14:35:07.726
13;3;40; 1; 14:35:05.750; 14:35:08.943
13;3;39; 2; 14:35:04.689; 14:35:09.230
13;3;42; 1; 14:35:07.872; 14:35:11.221
13;3;41; 1; 14:35:06.811; 14:35:11.311
13;3;43; 1; 14:35:08.877; 14:35:13.031
13;3;44; 1; 14:35:09.883; 14:35:14.304
13;3;45; 1; 14:35:10.887; 14:35:14.964
13;3;46; 2; 14:35:11.846; 14:35:15.150
13;3;47; 1; 14:35:12.799; 14:35:17.046
13;3;48; 2; 14:35:13.759; 14:35:18.248
13;3;49; 1; 14:35:14.719; 14:35:18.749
13;3;50; 1; 14:35:15.679; 14:35:18.984
13;3;51; 1; 14:35:16.634; 14:35:20.570
13;3;52; 1; 14:35:17.590; 14:35:20.861
13;3;53; 1; 14:35:18.549; 14:35:22.446
13;3;54; 1; 14:35:19.499; 14:35:23.944
13;3;55; 2; 14:35:20.460; 14:35:24.826
13;3;56; 1; 14:35:21.420; 14:35:24.849
13;3;57; 1; 14:35:22.381; 14:35:26.949
13;3;58; 1; 14:35:23.342; 14:35:27.281
13;3;59; 2; 14:35:24.303; 14:35:28.524
13;3;60; 1; 14:35:25.260; 14:35:29.652
13;3;61; 1; 14:35:26.213; 14:35:30.220
13;3;62; 1; 14:35:27.170; 14:35:30.489
13;3;63; 1; 14:35:28.123; 14:35:32.122
13;3;65; 1; 14:35:30.044; 14:35:33.349
13;3;64; 1; 14:35:29.082; 14:35:33.527
13;3;66; 1; 14:35:31.004; 14:35:35.326
13;3;67; 2; 14:35:31.965; 14:35:36.007
13;3;68; 1; 14:35:32.926; 14:35:36.262
13;3;69; 2; 14:35:33.886; 14:35:38.130
13;3;70; 1; 14:35:34.847; 14:35:38.844
13;3;71; 1; 14:35:35.808; 14:35:39.067
13;3;72; 1; 14:35:36.768; 14:35:40.910
13;3;73; 1; 14:35:37.729; 14:35:42.229
13;3;74; 1; 14:35:38.690; 14:35:42.642
13;3;75; 2; 14:35:39.650; 14:35:42.966
13;3;76; 2; 14:35:40.611; 14:35:43.949
13;3;77; 1; 14:35:41.571; 14:35:45.425
13;3;78; 1; 14:35:42.531; 14:35:47.065
13;3;79; 2; 14:35:43.491; 14:35:48.070
13;3;80; 2; 14:35:44.450; 14:35:48.504
13;3;81; 2; 14:35:45.402; 14:35:48.783
13;3;82; 1; 14:35:46.364; 14:35:50.605
13;3;83; 1; 14:35:47.323; 14:35:51.811
13;3;84; 1; 14:35:48.280; 14:35:52.169
13;3;85; 2; 14:35:49.243; 14:35:52.572
13;3;86; 1; 14:35:50.205; 14:35:54.448
13;3;87; 2; 14:35:51.166; 14:35:55.788
13;3;88; 1; 14:35:52.126; 14:35:55.943
13;3;89; 1; 14:35:53.084; 14:35:56.447
13;3;90; 2; 14:35:54.036; 14:35:58.246
13;3;91; 1; 14:35:54.995; 14:35:59.542
13;3;92; 2; 14:35:55.956; 14:35:59.910
13;3;93; 1; 14:35:56.918; 14:36:00.187
13;3;94; 1; 14:35:57.878; 14:36:01.128
13;3;95; 2; 14:35:58.838; 14:36:02.826
13;3;96; 1; 14:35:59.800; 14:36:03.989
13;3;97; 1; 14:36:00.760; 14:36:05.250
13;3;98; 2; 14:36:01.721; 14:36:05.942
13;3;99; 1; 14:36:02.672; 14:36:07.048
