probandId;condition;beeId;result;startTime;endTime
7;5;0; 1; 18:30:29.263; 18:30:32.867
7;5;1; 1; 18:30:33.327; 18:30:37.805
7;5;2; 1; 18:30:37.136; 18:30:41.245
7;5;3; 1; 18:30:40.755; 18:30:43.848
7;5;4; 2; 18:30:44.194; 18:30:47.399
7;5;5; 1; 18:30:47.460; 18:30:51.320
7;5;6; 1; 18:30:50.405; 18:30:54.760
7;5;7; 1; 18:30:53.209; 18:30:57.329
7;5;8; 1; 18:30:56.012; 18:30:59.183
7;5;9; 1; 18:30:58.671; 18:31:01.786
7;5;10; 1; 18:31:01.195; 18:31:05.048
7;5;11; 1; 18:31:03.596; 18:31:07.885
7;5;12; 1; 18:31:05.874; 18:31:10.019
7;5;13; 1; 18:31:08.259; 18:31:11.515
7;5;14; 2; 18:31:10.552; 18:31:13.816
7;5;15; 1; 18:31:12.610; 18:31:16.519
7;5;16; 1; 18:31:14.568; 18:31:18.876
7;5;17; 1; 18:31:16.431; 18:31:20.574
7;5;18; 2; 18:31:18.285; 18:31:21.623
7;5;19; 1; 18:31:20.050; 18:31:23.221
7;5;20; 2; 18:31:21.814; 18:31:25.934
7;5;21; 1; 18:31:23.489; 18:31:27.901
7;5;22; 1; 18:31:25.086; 18:31:29.262
7;5;23; 1; 18:31:26.685; 18:31:30.000
7;5;24; 1; 18:31:28.204; 18:31:31.299
7;5;25; 1; 18:31:29.722; 18:31:33.519
7;5;26; 1; 18:31:31.163; 18:31:35.597
7;5;27; 1; 18:31:32.604; 18:31:36.919
7;5;28; 2; 18:31:33.966; 18:31:37.339
7;5;29; 1; 18:31:35.330; 18:31:38.680
7;5;30; 1; 18:31:36.696; 18:31:40.661
7;5;31; 1; 18:31:37.999; 18:31:42.399
7;5;32; 1; 18:31:39.295; 18:31:43.460
7;5;33; 2; 18:31:40.527; 18:31:43.917
7;5;34; 1; 18:31:41.763; 18:31:45.002
7;5;35; 1; 18:31:42.937; 18:31:46.822
7;5;36; 1; 18:31:44.108; 18:31:48.542
7;5;37; 1; 18:31:45.281; 18:31:49.435
7;5;38; 2; 18:31:46.398; 18:31:49.859
7;5;39; 1; 18:31:47.515; 18:31:50.722
7;5;40; 1; 18:31:48.578; 18:31:52.675
7;5;41; 1; 18:31:49.638; 18:31:54.015
7;5;43; 2; 18:31:51.704; 18:31:54.876
7;5;42; 1; 18:31:50.699; 18:31:55.075
7;5;44; 2; 18:31:52.710; 18:31:55.935
7;5;45; 1; 18:31:53.715; 18:31:57.735
7;5;46; 1; 18:31:54.675; 18:31:59.041
7;5;47; 1; 18:31:55.636; 18:31:59.880
7;5;48; 2; 18:31:56.587; 18:31:59.902
7;5;49; 1; 18:31:57.546; 18:32:00.717
7;5;50; 2; 18:31:58.506; 18:32:02.683
7;5;51; 1; 18:31:59.468; 18:32:03.823
7;5;53; 2; 18:32:01.388; 18:32:04.593
7;5;52; 1; 18:32:00.427; 18:32:04.760
7;5;54; 2; 18:32:02.349; 18:32:05.598
7;5;55; 1; 18:32:03.312; 18:32:07.362
7;5;56; 1; 18:32:04.270; 18:32:08.636
7;5;57; 1; 18:32:05.230; 18:32:09.474
7;5;58; 2; 18:32:06.192; 18:32:09.553
7;5;59; 1; 18:32:07.152; 18:32:10.401
7;5;60; 2; 18:32:08.112; 18:32:12.322
7;5;61; 1; 18:32:09.073; 18:32:13.473
7;5;63; 2; 18:32:10.994; 18:32:14.276
7;5;62; 1; 18:32:10.033; 18:32:14.355
7;5;64; 1; 18:32:11.954; 18:32:15.238
7;5;65; 1; 18:32:12.916; 18:32:16.902
7;5;66; 1; 18:32:13.877; 18:32:18.197
7;5;67; 1; 18:32:14.836; 18:32:19.058
7;5;68; 2; 18:32:15.797; 18:32:19.058
7;5;69; 1; 18:32:16.759; 18:32:20.119
7;5;70; 1; 18:32:17.718; 18:32:21.794
7;5;71; 1; 18:32:18.680; 18:32:23.023
7;5;72; 1; 18:32:19.639; 18:32:23.883
7;5;73; 2; 18:32:20.600; 18:32:23.974
7;5;74; 2; 18:32:21.561; 18:32:24.899
7;5;75; 2; 18:32:22.521; 18:32:26.675
7;5;76; 1; 18:32:23.482; 18:32:27.836
7;5;78; 2; 18:32:25.403; 18:32:28.697
7;5;77; 1; 18:32:24.441; 18:32:28.719
7;5;79; 2; 18:32:26.363; 18:32:29.680
7;5;80; 1; 18:32:27.324; 18:32:31.400
7;5;81; 1; 18:32:28.285; 18:32:32.662
7;5;83; 2; 18:32:30.207; 18:32:33.433
7;5;82; 1; 18:32:29.245; 18:32:33.555
7;5;84; 1; 18:32:31.166; 18:32:34.416
7;5;85; 1; 18:32:32.126; 18:32:36.158
7;5;86; 1; 18:32:33.087; 18:32:37.420
7;5;88; 1; 18:32:35.008; 18:32:38.281
7;5;87; 1; 18:32:34.049; 18:32:38.638
7;5;89; 2; 18:32:35.969; 18:32:39.375
7;5;90; 1; 18:32:36.930; 18:32:40.458
7;5;91; 1; 18:32:37.891; 18:32:42.257
7;5;93; 1; 18:32:39.811; 18:32:43.061
7;5;94; 1; 18:32:40.772; 18:32:44.043
7;5;92; 2; 18:32:38.850; 18:32:44.178
7;5;95; 1; 18:32:41.733; 18:32:45.720
7;5;96; 2; 18:32:42.694; 18:32:47.138
7;5;97; 2; 18:32:43.654; 18:32:47.841
7;5;98; 1; 18:32:44.615; 18:32:47.975
7;5;99; 1; 18:32:45.576; 18:32:48.836
