probandId;condition;beeId;result;startTime;endTime
5;2;0; 1; 16:32:13.848; 16:32:17.869
5;2;1; 1; 16:32:17.915; 16:32:22.314
5;2;10; 1; 16:32:45.784; 16:32:49.647
5;2;11; 1; 16:32:48.185; 16:32:52.629
5;2;12; 1; 16:32:50.464; 16:32:54.629
5;2;13; 1; 16:32:52.631; 16:32:55.846
5;2;14; 2; 16:32:54.797; 16:32:58.069
5;2;15; 1; 16:32:56.852; 16:33:00.772
5;2;16; 1; 16:32:58.807; 16:33:03.252
5;2;17; 1; 16:33:00.762; 16:33:04.871
5;2;18; 1; 16:33:02.616; 16:33:05.832
5;2;19; 1; 16:33:04.381; 16:33:07.630
5;2;2; 1; 16:32:21.723; 16:32:25.934
5;2;20; 1; 16:33:06.145; 16:33:10.111
5;2;21; 1; 16:33:07.820; 16:33:12.154
5;2;22; 2; 16:33:09.496; 16:33:13.807
5;2;23; 1; 16:33:11.094; 16:33:14.353
5;2;24; 1; 16:33:12.613; 16:33:15.750
5;2;25; 1; 16:33:14.132; 16:33:17.995
5;2;26; 1; 16:33:15.573; 16:33:19.905
5;2;27; 1; 16:33:17.014; 16:33:21.290
5;2;28; 1; 16:33:18.376; 16:33:21.715
5;2;29; 1; 16:33:19.739; 16:33:22.888
5;2;3; 1; 16:32:25.343; 16:32:28.470
5;2;30; 1; 16:33:21.102; 16:33:25.054
5;2;31; 1; 16:33:22.396; 16:33:26.786
5;2;32; 1; 16:33:23.694; 16:33:28.008
5;2;33; 1; 16:33:24.933; 16:33:28.387
5;2;34; 1; 16:33:26.172; 16:33:29.311
5;2;35; 1; 16:33:27.346; 16:33:31.309
5;2;36; 1; 16:33:28.523; 16:33:32.929
5;2;37; 1; 16:33:29.691; 16:33:33.934
5;2;38; 2; 16:33:30.809; 16:33:34.214
5;2;39; 1; 16:33:31.925; 16:33:35.130
5;2;4; 1; 16:32:28.783; 16:32:31.910
5;2;40; 1; 16:33:32.987; 16:33:36.950
5;2;41; 1; 16:33:34.047; 16:33:38.435
5;2;42; 1; 16:33:35.109; 16:33:39.386
5;2;43; 1; 16:33:36.114; 16:33:39.488
5;2;44; 1; 16:33:37.119; 16:33:40.268
5;2;45; 1; 16:33:38.124; 16:33:42.090
5;2;46; 1; 16:33:39.084; 16:33:43.452
5;2;47; 1; 16:33:40.045; 16:33:44.311
5;2;48; 1; 16:33:41.006; 16:33:44.390
5;2;49; 1; 16:33:41.967; 16:33:45.171
5;2;5; 1; 16:32:32.044; 16:32:35.975
5;2;50; 1; 16:33:42.927; 16:33:46.925
5;2;51; 1; 16:33:43.889; 16:33:48.254
5;2;52; 1; 16:33:44.849; 16:33:49.147
5;2;53; 2; 16:33:45.810; 16:33:49.193
5;2;54; 1; 16:33:46.770; 16:33:49.974
5;2;55; 1; 16:33:47.730; 16:33:51.675
5;2;56; 1; 16:33:48.691; 16:33:53.012
5;2;57; 1; 16:33:49.652; 16:33:53.872
5;2;58; 1; 16:33:50.612; 16:33:53.927
5;2;59; 1; 16:33:51.573; 16:33:54.733
5;2;6; 1; 16:32:34.994; 16:32:39.394
5;2;60; 1; 16:33:52.534; 16:33:56.486
5;2;61; 1; 16:33:53.494; 16:33:57.815
5;2;62; 1; 16:33:54.455; 16:33:58.732
5;2;63; 2; 16:33:55.416; 16:33:58.786
5;2;64; 1; 16:33:56.376; 16:33:59.625
5;2;65; 1; 16:33:57.337; 16:34:01.355
5;2;66; 1; 16:33:58.297; 16:34:02.607
5;2;67; 1; 16:33:59.257; 16:34:03.467
5;2;68; 1; 16:34:00.217; 16:34:03.535
5;2;69; 1; 16:34:01.179; 16:34:04.349
5;2;7; 1; 16:32:37.797; 16:32:42.030
5;2;70; 1; 16:34:02.140; 16:34:06.115
5;2;71; 1; 16:34:03.100; 16:34:07.365
5;2;72; 1; 16:34:04.060; 16:34:08.214
5;2;73; 1; 16:34:05.021; 16:34:08.270
5;2;74; 1; 16:34:05.981; 16:34:09.130
5;2;75; 1; 16:34:06.941; 16:34:10.931
5;2;76; 1; 16:34:07.902; 16:34:12.168
5;2;77; 1; 16:34:08.864; 16:34:13.050
5;2;78; 1; 16:34:09.823; 16:34:13.129
5;2;79; 1; 16:34:10.784; 16:34:13.990
5;2;8; 1; 16:32:40.600; 16:32:43.828
5;2;80; 1; 16:34:11.745; 16:34:15.756
5;2;81; 1; 16:34:12.705; 16:34:16.972
5;2;82; 1; 16:34:13.667; 16:34:17.853
5;2;83; 1; 16:34:14.626; 16:34:17.945
5;2;84; 1; 16:34:15.588; 16:34:18.770
5;2;85; 1; 16:34:16.549; 16:34:20.535
5;2;86; 1; 16:34:17.508; 16:34:21.774
5;2;87; 1; 16:34:18.469; 16:34:22.611
5;2;88; 1; 16:34:19.430; 16:34:22.689
5;2;89; 1; 16:34:20.391; 16:34:23.550
5;2;9; 1; 16:32:43.259; 16:32:46.508
5;2;90; 1; 16:34:21.351; 16:34:25.371
5;2;91; 1; 16:34:22.312; 16:34:26.588
5;2;92; 1; 16:34:23.273; 16:34:27.448
5;2;93; 1; 16:34:24.233; 16:34:27.495
5;2;94; 1; 16:34:25.193; 16:34:28.354
5;2;95; 1; 16:34:26.154; 16:34:30.154
5;2;96; 1; 16:34:27.115; 16:34:31.414
5;2;97; 1; 16:34:28.076; 16:34:32.374
5;2;98; 2; 16:34:29.035; 16:34:32.408
5;2;99; 1; 16:34:29.996; 16:34:33.335
