probandId;condition;beeId;result;startTime;endTime
17;4;0; 1; 17:36:55.401; 17:36:59.466
17;4;1; 1; 17:36:59.467; 17:37:03.923
17;4;2; 2; 17:37:03.276; 17:37:07.564
17;4;3; 1; 17:37:06.894; 17:37:09.976
17;4;4; 1; 17:37:10.334; 17:37:13.439
17;4;5; 1; 17:37:13.596; 17:37:17.840
17;4;6; 1; 17:37:16.545; 17:37:20.643
17;4;7; 1; 17:37:19.348; 17:37:23.681
17;4;8; 1; 17:37:22.152; 17:37:25.938
17;4;9; 1; 17:37:24.811; 17:37:29.122
17;4;10; 1; 17:37:27.334; 17:37:31.857
17;4;11; 1; 17:37:29.735; 17:37:33.377
17;4;12; 1; 17:37:32.015; 17:37:34.962
17;4;13; 1; 17:37:34.182; 17:37:38.482
17;4;14; 1; 17:37:36.348; 17:37:40.746
17;4;15; 1; 17:37:38.405; 17:37:42.066
17;4;16; 1; 17:37:40.359; 17:37:44.703
17;4;17; 1; 17:37:42.313; 17:37:46.757
17;4;18; 1; 17:37:44.168; 17:37:47.316
17;4;19; 1; 17:37:45.932; 17:37:50.265
17;4;20; 1; 17:37:47.697; 17:37:52.063
17;4;21; 1; 17:37:49.372; 17:37:53.382
17;4;22; 1; 17:37:51.048; 17:37:55.236
17;4;23; 1; 17:37:52.646; 17:37:57.045
17;4;24; 1; 17:37:54.164; 17:37:58.207
17;4;25; 1; 17:37:55.683; 17:37:58.798
17;4;26; 1; 17:37:57.125; 17:38:00.206
17;4;27; 1; 17:37:58.565; 17:38:01.523
17;4;28; 1; 17:37:59.927; 17:38:04.137
17;4;29; 1; 17:38:01.290; 17:38:05.678
17;4;30; 1; 17:38:02.664; 17:38:06.282
17;4;31; 2; 17:38:03.960; 17:38:08.304
17;4;32; 1; 17:38:05.256; 17:38:09.678
17;4;33; 2; 17:38:06.495; 17:38:10.226
17;4;34; 1; 17:38:07.735; 17:38:11.018
17;4;35; 1; 17:38:08.908; 17:38:13.285
17;4;36; 1; 17:38:10.081; 17:38:14.459
17;4;37; 1; 17:38:11.253; 17:38:14.625
17;4;38; 1; 17:38:12.370; 17:38:16.959
17;4;40; 1; 17:38:14.548; 17:38:17.518
17;4;39; 1; 17:38:13.488; 17:38:18.066
17;4;41; 1; 17:38:15.610; 17:38:19.942
17;4;42; 1; 17:38:16.671; 17:38:19.976
17;4;43; 1; 17:38:17.677; 17:38:21.906
17;4;44; 1; 17:38:18.682; 17:38:23.003
17;4;46; 1; 17:38:20.648; 17:38:23.763
17;4;45; 1; 17:38:19.687; 17:38:24.243
17;4;47; 1; 17:38:21.608; 17:38:25.919
17;4;49; 1; 17:38:23.529; 17:38:27.080
17;4;48; 2; 17:38:22.568; 17:38:27.281
17;4;50; 1; 17:38:24.490; 17:38:27.705
17;4;51; 1; 17:38:25.451; 17:38:29.504
17;4;52; 1; 17:38:26.410; 17:38:29.527
17;4;53; 1; 17:38:27.371; 17:38:30.845
17;4;54; 1; 17:38:28.331; 17:38:32.799
17;4;55; 1; 17:38:29.292; 17:38:33.525
17;4;56; 2; 17:38:30.253; 17:38:33.581
17;4;57; 1; 17:38:31.214; 17:38:35.703
17;4;58; 1; 17:38:32.174; 17:38:35.981
17;4;59; 1; 17:38:33.135; 17:38:37.523
17;4;61; 1; 17:38:35.057; 17:38:38.641
17;4;60; 2; 17:38:34.096; 17:38:38.875
17;4;62; 2; 17:38:36.016; 17:38:39.207
17;4;63; 1; 17:38:36.978; 17:38:40.516
17;4;65; 1; 17:38:38.899; 17:38:42.045
17;4;64; 1; 17:38:37.939; 17:38:42.382
17;4;66; 1; 17:38:39.859; 17:38:44.123
17;4;67; 1; 17:38:40.820; 17:38:44.996
17;4;68; 1; 17:38:41.780; 17:38:44.996
17;4;69; 2; 17:38:42.741; 17:38:47.420
17;4;70; 1; 17:38:43.702; 17:38:47.543
17;4;71; 1; 17:38:44.663; 17:38:47.699
17;4;72; 1; 17:38:45.622; 17:38:49.945
17;4;73; 1; 17:38:46.583; 17:38:51.016
17;4;74; 1; 17:38:47.545; 17:38:51.284
17;4;75; 2; 17:38:48.505; 17:38:51.719
17;4;76; 1; 17:38:49.466; 17:38:52.624
17;4;77; 1; 17:38:50.426; 17:38:54.356
17;4;78; 1; 17:38:51.385; 17:38:55.797
17;4;79; 1; 17:38:52.347; 17:38:56.579
17;4;80; 1; 17:38:53.307; 17:38:57.406
17;4;81; 2; 17:38:54.267; 17:38:57.539
17;4;82; 2; 17:38:55.228; 17:38:59.538
17;4;83; 1; 17:38:56.189; 17:39:00.399
17;4;85; 1; 17:38:58.110; 17:39:01.225
17;4;84; 1; 17:38:57.149; 17:39:01.280
17;4;86; 1; 17:38:59.071; 17:39:03.381
17;4;87; 1; 17:39:00.031; 17:39:04.643
17;4;88; 1; 17:39:00.991; 17:39:04.644
17;4;89; 1; 17:39:01.953; 17:39:05.146
17;4;90; 1; 17:39:02.913; 17:39:07.246
17;4;91; 1; 17:39:03.873; 17:39:08.306
17;4;92; 1; 17:39:04.833; 17:39:08.921
17;4;93; 2; 17:39:05.794; 17:39:09.022
17;4;94; 1; 17:39:06.755; 17:39:10.038
17;4;95; 1; 17:39:07.716; 17:39:11.646
17;4;96; 1; 17:39:08.676; 17:39:12.920
17;4;97; 1; 17:39:09.637; 17:39:14.103
17;4;98; 1; 17:39:10.598; 17:39:14.885
17;4;99; 2; 17:39:11.559; 17:39:16.103
